日時,金額,手数料,TX,アドレス
2018-02-10 14:13:56.325121,0.16510020,0.00000000,transfer-41349,1DdDjs6zFbxyZruTCMPMZBEX96vAUGPNNn
2017-12-04 19:22:48.588862,0.01455320,0.00100000,e0974f0373613d87dd5016ab495004651c618d8a797feb3fa1d1493fa2deee38,182tVoQV8zh3dbJZSmWeps3PyVe7q5XwZE
2017-11-27 22:14:56.138630,1.03277443,0.00100000,65cc6f5cfd400680eef5079126df2e804b8a7d0aba0bda373768541c6190b7a4,182tVoQV8zh3dbJZSmWeps3PyVe7q5XwZE
2017-11-16 22:36:52.275912,0.70576800,0.00100000,b009bfc2d5d58e65bcc1c58a59ced22546ba654891718c85acb10ef70f584b5e,182tVoQV8zh3dbJZSmWeps3PyVe7q5XwZE
