DATE,CURRENCY,UNITS,FROM,TO
12/16/2017,ZNY,2003,,cryptobridge
12/16/2017,ZNY,1250,,cryptobridge
12/15/2017,ZNY,2500,,cryptobridge
12/15/2017,ZNY,250,,cryptobridge
12/15/2017,ZNY,280.6799953,,cryptobridge
