DATE,CURRENCY,UNITS,FROM,TO
12/16/2017,ZNY,2003,BitZenyWallet,
12/16/2017,ZNY,1250,BitZenyWallet,
12/15/2017,ZNY,2500,BitZenyWallet,
12/15/2017,ZNY,250,BitZenyWallet,
12/15/2017,ZNY,280.6799953,BitZenyWallet,
12/09/2017,ZNY,6283.78,BitZenyWallet,
