DATE,CURRENCY,UNITS,FROM,TO
01/09/2018,DOGE,89993.92106,,coinexchange
01/03/2018,DOGE,214823.9281,,coinexchange
01/03/2018,DOGE,13995.40794,,coinexchange
12/17/2017,DOGE,15220.84991,,coinexchange
11/19/2017,ETH,4.7840597,,coinexchange
11/14/2017,ETH,1.01831379,,coinexchange
