DATE,CURRENCY,UNITS,FROM,TO
01/28/2018,DOGE,39316.82581,,cryptopia
01/26/2018,DOGE,49097.67846,,cryptopia
01/12/2018,BTC,0.06987352,,cryptopia
12/13/2017,BTC,0.00436029,,cryptopia
