"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $863.21/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode"
"0x053d1add3ea0c658bc51ece1c097b7836ab953b763fb16f11398e43d85fd70a3","4863780","1515246669","1/6/2018 1:51:09 PM","0x12c2623ea3aaaed432d512c86f5a8e3ea7099042","0x52e30201f31283dc5f7928b4198896083f604416","","0","0.105559","91.11958439","0.00112344","0.9697646424","1006.41","",""
"0x1a7947bbfc6601765ec01677f9a38b9763845dacd11e3e24a5e8e9ffe72919f5","4895011","1515743178","1/12/2018 7:46:18 AM","0x12c2623ea3aaaed432d512c86f5a8e3ea7099042","0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25","","0","0","0","0.001115163","0.96261985323","1261.03","",""
"0x084d5b311c450fc3f458ebe8bbf1a50d3c667b6b6f74111417aba92ddbb08ad6","4972969","1516927082","1/26/2018 12:38:02 AM","0xe89943ec20d856f064a87349a00ef6ab00aed042","0x12c2623ea3aaaed432d512c86f5a8e3ea7099042","","0.520107","0","448.96156347","0.00042","0.3625482","1048.58","",""
"0x265da2eb2c483e3b11ceae20213d19b9d8e2de78a4170f2fd37702374e26eecb","5063127","1518240220","2/10/2018 5:23:40 AM","0x12c2623ea3aaaed432d512c86f5a8e3ea7099042","0x3f250567f52170caa2d0c256f002524eb2061f24","","0","0.521448397","450.11947077437","0.00042","0.3625482","850.75","",""
"0x2d4d7f699f37276540c8abdadcaa55a43e5868cc893dd8e29df90d8fb541ef99","5124197","1519126555","2/20/2018 11:35:55 AM","0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c","0x12c2623ea3aaaed432d512c86f5a8e3ea7099042","","0.00281","0","2.4256201","0.001281","1.10577201","885.52","",""
