#,Currency,Amount,Fee,Status,TransactionId,Address,Timestamp
3164362, BTC,0.05878245,0.001,Complete,c2777e278eefa74ee0f200c0ea2b0310339bd1abfaa5a04dde59185ac95ad854,1EgZz1ut9tvM1XaNJ8Kbtu6YAAXETiXkR4,16/02/2018 9:17:00 AM
1581599, DOGE,12170.65868,3,Complete,4f12f8611e6801b23b832160d0c1e0ee3fb849af9281266bf38b22243de33ec9,DPqXAA3yT8JC9rp8YPhVtavNsYLk5eZBhS,21/12/2017 12:43:00 PM
