#,Currency,Amount,Status,Type,Transaction,Conf.,Timestamp
28575609, DOGE,39316.82581,Confirmed,Normal,40df0bd5a61d1950c2aafcd21a3aee147a6ab07d6b42cf99d9551dea25827767,6ŒŽ6“ú,28/01/2018 12:36:00 AM
28355863, DOGE,49097.67846,Confirmed,Normal,2f118cb5753f8eb6d41992982162483b7c10c273b9cdda3173ca4f577b39d501,6ŒŽ6“ú,26/01/2018 3:38:00 PM
26027116, BTC,0.06987352,Confirmed,Normal,5118fe1c36c7c8a0b1526ba8aa8e3141f59f43bfd9a612075931863a695ee3b5,2ŒŽ2“ú,12/01/2018 4:57:00 PM
21500289, BTC,0.00436029,Confirmed,Normal,07343dfb0fcdcb2a1d3bea31217eb41a7b6f7fd96f7e4a5ef4e5fc2665184773,2ŒŽ2“ú,13/12/2017 8:45:00 AM
