ID,Amount,Price,Trading Currency,Original Currency,Progress,Time
2161103,1380.0,0.0916,XRP,BTC,completed,2017-08-23 09:34:39 UTC
2158184,4309.3,0.3087,XRP,BTC,completed,2017-08-23 07:00:52 UTC
2144700,1619.8,0.100025,XRP,BTC,completed,2017-08-22 23:21:27 UTC
1966650,1054.9,20000.0,XRP,JPY,completed,2017-08-15 00:04:32 UTC
