DATE,CURRENCY,UNITS,FEE,FROM,TO
2017/12/30,ETH,0.26169794,,,MyEtherWallet
2017/12/30,ETH,0.09529,,,MyEtherWallet
2017/12/31,ETH,0.24698794,,,liqui
2017/12/31,ETH,0.26169794,,bittrex,
2017/12/31,JPY,100000,,,coincheck
2017/12/31,ETH,0.09529,0.01,,coincheck
2018/01/01,DOGE,39.23691366,,cryptobridge,
2018/01/01,DOGE,39.22691366,,,bittrex
2018/01/01,JPY,100000,"","",zaif
2018/01/03,DOGE,214823.9281,,,coinexchange
2018/01/03,DOGE,13995.40794,,bittrex,
2018/01/03,ZEC,1.3732,,,bittrex
2018/01/03,DOGE,232466.2136,,,bittrex
2018/01/03,DOGE,13995.40794,,,coinexchange
2018/01/03,DOGE,131469.2608,,bittrex,
2018/01/03,DOGE,232468.2136,,coinexchange,
2018/01/03,DOGE,214823.9281,,bittrex,
2018/01/03,ZEC,1.3732,0.001,,coincheck
2018/01/04,SRN,2069.403528,,liqui,
2018/01/04,BTC,0.16502229,,bittrex,
2018/01/04,SRN,2069.4035,,,MyEtherWallet
2018/01/04,BTC,0.16502229,,,liqui
2018/01/06,ETH,0.105559,,MyEtherWallet,
2018/01/07,LSK,40.339,,,bittrex
2018/01/07,LSK,40.439,0.1,,coincheck
2018/01/09,DOGE,89993.92106,,,coinexchange
2018/01/09,DOGE,89993.92106,,bittrex,
2018/01/10,SRN,436.7600834,,liqui,
2018/01/10,BTC,0.0773854,,,liqui
2018/01/10,SRN,436.7601,,,MyEtherWallet
2018/01/10,BTC,0.0788854,,coinexchange,
2018/01/12,SRN,500,,MyEtherWallet,
2018/01/12,SRN,500,,,liqui
2018/01/12,BTC,0.06987352,,liqui,
2018/01/12,BTC,0.06987352,,,cryptopia
2018/01/16,JPY,50000,,,coincheck
2018/01/16,JPY,10000,,,coincheck
2018/01/16,JPY,10000,,,coincheck
2018/01/16,JPY,10000,,,coincheck
2018/01/16,JPY,10000,,,coincheck
2018/01/16,JPY,10000,,,coincheck
2018/01/21,ZEC,0.008,0.001,,coincheck
2018/01/22,ZEC,0.008,,,bittrex
2018/01/25,ETH,0.520107,,,MyEtherWallet
2018/01/25,XRP,535.277,,,bittrex
2018/01/25,MLD,303928.3339,,,MyEtherWallet
2018/01/25,XRP,535.277,0.15,,coincheck
2018/01/26,DOGE,49097.67846,,bittrex,
2018/01/26,DOGE,49097.67846,,,cryptopia
2018/01/26,ETH,0.52010700,0.02000000,zaif,""
2018/01/28,DOGE,39316.82581,,bittrex,
2018/01/28,DOGE,39316.82581,,,cryptopia
2018/02/04,IOST,68,,,MyEtherWallet
2018/02/09,ETH,0.521448397,,MyEtherWallet,
2018/02/10,BCH,0.16510020,0.00000000,zaif,""
2018/02/10,XEM,6.03258080,0.00000000,zaif,""
2018/02/13,RFR,200,,,MyEtherWallet
2018/02/16,BTC,0.05878245,,cryptopia,
2018/02/16,SRN,529.5915811,,bittrex,
2018/02/16,SRN,529.5916,,,MyEtherWallet
2018/02/16,BTC,0.05778245,,,bittrex
2018/02/20,ETH,0.00281,,,MyEtherWallet
2018/02/20,ETH,0.00281,0,bitFlyer,
2018/02/23,LUCD,777,,,MyEtherWallet
2018/02/28,LSK,10.12,,,bittrex
2018/02/28,SRN,306.5624,,,MyEtherWallet
2018/02/28,SRN,306.5623901,,bittrex,
2018/02/28,JPY,25000,0,,bitFlyer
2018/02/28,LSK,10.22,0,bitFlyer,
2018/02/28,MONA,0.128,0,bitFlyer,
2018/02/28,MONA,0.12800000,"","",zaif
2018/03/02,RKT,5500,,,MyEtherWallet
2018/03/02,ALP,36,,,MyEtherWallet
2018/03/02,GSC,20,,,MyEtherWallet
2018/03/03,WFEE,50,,,MyEtherWallet
2018/03/06,JPY,25000,0,,bitFlyer
2018/03/06,BTC,0.0192,0.0008,bitFlyer,
2018/03/06,MONA,0.311,0,bitFlyer,
2018/03/08,JPY,20000,0,,bitFlyer
2018/03/08,BTC,0.0172,0.0008,bitFlyer,
2018/03/08,MONA,0.457,0,bitFlyer,
