OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
84c327a0-d41d-449d-b99c-688f0c470170,ZNY-XP,LIMIT_BUY,666508.9265,0.00174,0,1159.725532,2018/12/17 8:48,2018/12/17 8:48
84c327a0-d41d-449d-b99c-688f0c470170,BTC-ETH,LIMIT_SELL,2.08916183,0.046503,0.00014573,0.09700656,2017/11/19 8:01,2017/11/19 8:01
84c327a0-d41d-449d-b99c-688f0c470170,BTC-ETH,LIMIT_SELL,0.00961509,0.046503,0.00000067,0.00044646,2017/11/19 8:01,2017/11/19 8:01
84c327a0-d41d-449d-b99c-688f0c470170,BTC-ETH,LIMIT_SELL,1.34089577,0.046503,0.00009353,0.06226215,2017/11/19 8:02,2017/11/19 8:02
84c327a0-d41d-449d-b99c-688f0c470170,BTC-ETH,LIMIT_SELL,1.2256106,0.046503,0.00008549,0.05690908,2017/11/19 8:02,2017/11/19 8:02
84c327a0-d41d-449d-b99c-688f0c470170,BTC-ETH,LIMIT_SELL,0.00329591,0.046503,0.00000023,0.00015304,2017/11/19 8:02,2017/11/19 8:02
84c327a0-d41d-449d-b99c-688f0c470170,BTC-ETH,LIMIT_SELL,0.00833879,0.046503,0.00000058,0.0003872,2017/11/19 8:03,2017/11/19 8:03
84c327a0-d41d-449d-b99c-688f0c470170,BTC-ETH,LIMIT_SELL,0.10714171,0.046503,0.00000747,0.00497494,2017/11/19 8:04,2017/11/19 8:04
84c327a0-d41d-449d-b99c-688f0c470170,MONA-XP,LIMIT_SELL,343724.9655,0.000015,0,5.155874483,2018/12/20 21:49,2018/12/20 21:49
17d8efb5-68f6-4c40-8b81-38f4be824d24,BTC-ADA,LIMIT_SELL,5000,0.00001235,0.00015436,0.06174999,12/2/2017 10:16:49 AM,12/2/2017 10:17:16 AM
79753f65-a101-461b-bbb2-3abd0e54de15,BTC-ARDR,LIMIT_BUY,434.1120879,0.0000359,0.00003894,0.01558461,12/2/2017 10:17:47 AM,12/2/2017 10:20:18 AM
969e2c7e-4088-4755-8feb-6d6817b653d5,BTC-ARDR,LIMIT_BUY,1275.246607,0.00003596,0.00011464,0.04585786,12/2/2017 10:20:28 AM,12/2/2017 10:20:28 AM
5954ac11-db37-445c-8a31-4a2a14aca4be,BTC-BCC,LIMIT_BUY,1.35214798,0.1427887,0.00048266,0.19307144,11/17/2017 10:21:03 AM,11/17/2017 10:21:08 AM
950c0a9c-4d29-406c-97ca-a32f31821e2d,BTC-MTL,LIMIT_BUY,200.9700489,0.00058001,0.0002914,0.11656462,12/5/2017 10:30:53 AM,12/5/2017 10:31:07 AM
