"マーケット","取引種別","価格","数量","取引手数料","ボーナス円","日時","コメント"
"btc_jpy","bid","2142857","0.0014","0",,"2017-12-11 22:25:00.0",
"btc_jpy","bid","690235","0.0594","0",,"2017-10-16 12:38:00.0",
"btc_jpy","bid","506329","0.1975","0",,"2017-08-18 9:11:00.0",
"btc_jpy","bid","421052","0.0475","0",,"2017-08-11 22:02:00.0",
"btc_jpy","bid","390625","0.0256","0",,"2017-08-06 9:00:00.0",
"btc_jpy","bid","332963","0.0901","0",,"2017-08-04 10:10:00.0",
