Id,COIN,TYPE,DATE,AMOUNT,ADDRESS
#541928,Bitcoin,Withdraw,"January 12, 2018, 07:54",0.06987352,115qeSrAyMrdeZVQLioSNna18NuRuhtNZM
#535115,Sirin,Withdraw,"January 10, 2018, 06:07",436.7600834,0x12c2623Ea3aAAeD432D512c86F5A8E3eA7099042
#508605,Sirin,Withdraw,"January 04, 2018, 19:18",2069.403528,0x12c2623Ea3aAAeD432D512c86F5A8E3eA7099042
