COIN,TYPE,DATE,AMOUNT,ADDRESS,Txid
Sirin,Deposit,"January 12, 2018, 07:51",500,0x9e42fb95e5a5dd1768f57765608df3ae4d05bc1b,0x1a7947bbfc6601765ec01677f9a38b9763845dacd11e3e24a5e8e9ffe72919f5
Bitcoin,Deposit,"January 10, 2018, 05:57",0.0773854,1347JmRoj3uDnUbGivyF7mc8HhFqZgR5uD,df9ad9460961dd5a1b4034695ffa438bf1693cad67d68234ec18e0c6174f1224
Bitcoin,Deposit,"January 04, 2018, 13:16",0.16502229,1347JmRoj3uDnUbGivyF7mc8HhFqZgR5uD,d53990d60f91976e0a2cf86591f332a965b1107cb91b4cbf2a1f28c6a94b8fde
Ethereum,Deposit,"December 31, 2017, 04:43",0.24698794,0x9e42fb95e5a5dd1768f57765608df3ae4d05bc1b,0x93b512c95b3ec9400501a3b16ba33bb8b75f8d327ad1a279ea8e2e03f7b23a66
